#"Step","eletrostastic","Non-Contacts","Bonds","Angles","Dihedrals","contact_1-10-12"
1000,0.0,0.10802650451660156,12.252042770385742,7.889819145202637,2.9370596408843994,-153.64552307128906
2000,0.0,0.10975302755832672,13.358203887939453,9.668877601623535,4.695146083831787,-149.5120086669922
3000,0.0,0.08113226294517517,17.651290893554688,8.209994316101074,5.365765571594238,-150.23147583007812
4000,0.0,0.09430733323097229,17.556564331054688,7.943262100219727,2.9630281925201416,-148.65753173828125
5000,0.0,0.10379435122013092,19.11532211303711,12.222358703613281,5.198948383331299,-146.06390380859375
6000,0.0,0.07529521733522415,18.542598724365234,9.185791969299316,3.232485771179199,-150.50608825683594
7000,0.0,0.13567814230918884,18.416179656982422,7.843515396118164,5.66703987121582,-150.95516967773438
8000,0.0,0.08298327028751373,10.982038497924805,12.395618438720703,4.619119644165039,-145.8139190673828
9000,0.0,0.1278948038816452,20.117481231689453,9.259572982788086,5.5966691970825195,-146.8636474609375
10000,0.0,0.07718053460121155,17.149303436279297,12.94534683227539,4.634346008300781,-144.89476013183594
11000,0.0,0.11654438823461533,16.11759376525879,11.123881340026855,7.583620548248291,-138.0455322265625
12000,0.0,0.10125041007995605,16.235149383544922,13.895524978637695,5.1942548751831055,-138.46197509765625
13000,0.0,0.08413686603307724,16.816272735595703,14.135171890258789,8.967022895812988,-142.0684814453125
14000,0.0,0.0981130450963974,18.20849609375,8.967565536499023,6.456319808959961,-150.5692138671875
15000,0.0,0.10539565980434418,16.02932357788086,10.749996185302734,6.18947696685791,-143.68309020996094
16000,0.0,0.13029588758945465,14.743844985961914,13.672065734863281,4.540427207946777,-147.3409881591797
17000,0.0,0.11156847327947617,11.752632141113281,11.261659622192383,6.022233009338379,-144.4541015625
18000,0.0,0.15048371255397797,10.887574195861816,9.405708312988281,4.185660362243652,-147.5576171875
19000,0.0,0.11060240864753723,14.319003105163574,11.916984558105469,4.553778648376465,-147.08721923828125
20000,0.0,0.11119953542947769,14.089529991149902,11.053659439086914,6.797488212585449,-149.10333251953125
21000,0.0,0.12901365756988525,16.356884002685547,15.17884349822998,6.312994003295898,-147.95843505859375
22000,0.0,0.10095708072185516,16.976593017578125,11.507575988769531,6.447162628173828,-147.7298583984375
23000,0.0,0.08063109219074249,14.284893989562988,12.161500930786133,5.316254615783691,-144.32464599609375
24000,0.0,0.13486497104167938,15.297173500061035,10.861007690429688,4.11505126953125,-149.1210174560547
25000,0.0,0.15670423209667206,19.202098846435547,14.41245174407959,2.7843191623687744,-149.63104248046875
26000,0.0,0.10504648834466934,18.048789978027344,14.10838508605957,4.886996746063232,-150.73751831054688
27000,0.0,0.17846816778182983,10.309991836547852,11.885828018188477,6.562337875366211,-146.5213623046875
28000,0.0,0.12954160571098328,12.606660842895508,10.776313781738281,6.119929790496826,-145.70401000976562
29000,0.0,0.10681066662073135,16.76327133178711,14.309503555297852,6.172086715698242,-144.69113159179688
30000,0.0,0.13978765904903412,14.89737319946289,10.52108383178711,4.203246116638184,-147.4530487060547
31000,0.0,0.11365987360477448,15.049488067626953,12.692689895629883,6.594168663024902,-150.88052368164062
32000,0.0,0.12144436687231064,11.120840072631836,13.20956039428711,4.905365943908691,-149.387939453125
33000,0.0,0.0967642217874527,17.035381317138672,10.47358512878418,4.410796642303467,-147.8065643310547
34000,0.0,0.1861400157213211,16.383304595947266,9.861982345581055,5.696088790893555,-148.60415649414062
35000,0.0,0.15600261092185974,16.876541137695312,10.642704010009766,4.740424633026123,-147.49258422851562
36000,0.0,0.06406709551811218,21.19896697998047,11.648188591003418,4.536637783050537,-148.2518768310547
37000,0.0,0.1141461431980133,15.30166244506836,8.334357261657715,6.502890586853027,-149.40676879882812
38000,0.0,0.09747883677482605,19.775890350341797,11.204395294189453,3.3537087440490723,-148.0421142578125
39000,0.0,0.12519744038581848,21.93270492553711,12.375323295593262,5.477313995361328,-148.11741638183594
40000,0.0,0.11226634681224823,15.430413246154785,10.368110656738281,5.106825828552246,-149.88809204101562
41000,0.0,0.10974328219890594,17.892602920532227,6.691284656524658,5.249561786651611,-144.55323791503906
42000,0.0,0.12749674916267395,16.060380935668945,11.571820259094238,4.729975700378418,-148.1236114501953
43000,0.0,0.08244486898183823,22.792314529418945,14.273357391357422,5.586172580718994,-149.50318908691406
44000,0.0,0.1270793378353119,25.207849502563477,14.073180198669434,5.564696311950684,-144.97866821289062
45000,0.0,0.1588541865348816,11.083234786987305,10.3582181930542,5.718975067138672,-144.88479614257812
46000,0.0,0.11995585262775421,18.578224182128906,12.993854522705078,3.371328115463257,-149.88348388671875
47000,0.0,0.07146073877811432,14.326528549194336,10.953470230102539,5.374118328094482,-142.02452087402344
48000,0.0,0.1073157787322998,16.935863494873047,10.304868698120117,5.777231216430664,-146.242919921875
49000,0.0,0.07677701115608215,15.461952209472656,9.550661087036133,3.4957327842712402,-145.9161376953125
50000,0.0,0.07798884809017181,15.164643287658691,11.042288780212402,5.246457576751709,-150.30026245117188
51000,0.0,0.13305066525936127,17.15589141845703,11.293670654296875,3.615323066711426,-146.20413208007812
52000,0.0,0.10601399093866348,13.714712142944336,9.688180923461914,3.363337993621826,-147.12010192871094
53000,0.0,0.10864199697971344,13.7359037399292,9.925227165222168,5.744962692260742,-145.49688720703125
54000,0.0,0.08696724474430084,14.583902359008789,10.480157852172852,4.456884384155273,-143.31500244140625
