#"Step","Potential Energy","Kinetic Energy","Total Energy","Temperature"
20000,-18.990597361698747,94.63545989990234,75.6448625382036,0.9857860406235986
40000,-43.18823112733662,100.06551361083984,56.87728248350322,1.042349100112509
60000,-56.63782093115151,113.53417205810547,56.89635112695396,1.1826476256048044
80000,-23.27090108045377,113.34061431884766,90.06971323839389,1.180631399154203
100000,-22.3071565348655,101.08014678955078,78.77299025468528,1.052918195724077
120000,-28.577752880286425,121.88297271728516,93.30521983699873,1.2696142991378923
140000,-7.6784762176685035,130.8460693359375,123.167593118269,1.3629798889154843
160000,-15.678173340857029,118.48975372314453,102.8115803822875,1.2342682679489412
180000,-19.74882485764101,90.02198028564453,70.27315542800352,0.9377289613084318
200000,-18.44915099442005,117.35269927978516,98.9035482853651,1.2224239508306192
220000,-35.39307626103982,107.89408111572266,72.50100485468283,1.1238966782883397
240000,-11.021974382922053,108.92830657958984,97.90633219666779,1.1346698602036187
260000,-35.287431658711284,98.83715057373047,63.549718915019184,1.0295536518092911
280000,-4.805265158647671,122.17803192138672,117.37276676273905,1.272687832513949
300000,-14.229556679725647,92.5596694946289,78.33011281490326,0.9641632239020087
320000,-29.112399607896805,113.25379943847656,84.14139983057976,1.1797270774836712
340000,-12.14123435690999,114.94947052001953,102.80823616310954,1.1973903179164036
360000,-28.29806590732187,137.0908203125,108.79275440517813,1.4280293782546518
380000,-26.233934491872787,113.50617980957031,87.27224531769753,1.1823560396825634
400000,-34.19645901583135,109.4657974243164,75.26933840848505,1.1402687231695183
420000,-29.05608255509287,127.96946716308594,98.91338460799307,1.3330152829482924
440000,4.333891354966909,143.77980041503906,148.11369177000597,1.49770625432274
460000,-19.75574209773913,105.16388702392578,85.40814492618665,1.0954571564988
480000,-8.36144063808024,127.09161376953125,118.73017313145101,1.3238709767654346
500000,-21.770820800215006,97.24972534179688,75.47890454158187,1.0130179723099892
520000,-22.082747526001185,103.6031265258789,81.52037899987772,1.0791992346441515
540000,13.75422509945929,75.2882080078125,89.04243310727179,0.7842521667477412
560000,14.389473718125373,105.70465850830078,120.09413222642615,1.1010901927943708
580000,-17.41717765852809,111.83743286132812,94.42025520280004,1.1649732589717139
600000,-13.875916956923902,97.7011947631836,83.82527780625969,1.0177207787827658
620000,-33.2593265096657,95.6121826171875,62.3528561075218,0.995960235595315
640000,-12.05764418747276,120.35540771484375,108.29776352737099,1.2537021636958006
660000,-12.141900429036468,117.50794982910156,105.3660494000651,1.2240411440526644
680000,-28.773194782435894,107.14961242675781,78.37641764432192,1.1161417961116256
700000,-8.763621289283037,102.44908905029297,93.68546776100993,1.0671780109401359
720000,-26.554194999160245,117.08485412597656,90.53065912681632,1.2196338971451137
740000,-23.85725626349449,122.971923828125,99.11466756463051,1.2809575398758029
760000,-4.769189719809219,108.41761016845703,103.64842044864781,1.1293501059209874
780000,-33.82346878293902,126.19498443603516,92.37151565309614,1.314531087874854
800000,-14.722075764089823,87.0242919921875,72.30221622809768,0.9065030415849331
820000,-14.883878968656063,118.03324127197266,103.1493623033166,1.2295129299159027
840000,13.834183768602088,116.88904571533203,130.72322948393412,1.2175942262009007
860000,-29.55784997344017,88.64939880371094,59.09154883027077,0.9234312375382958
880000,-40.04882085323334,116.88113403320312,76.83231317996979,1.2175118128453912
900000,-9.692038056906313,96.73994445800781,87.0479064011015,1.0077077547705222
920000,-27.693670719861984,99.57809448242188,71.88442376255989,1.0372718175248237
940000,-43.318599347025156,110.50337219238281,67.18477284535766,1.1510767936702058
960000,-25.65108221769333,110.19171905517578,84.54063683748245,1.1478304068243004
980000,-50.77960590273142,101.12665557861328,50.34704967588186,1.0534026622768111
1000000,-30.148487087339163,99.89073944091797,69.7422523535788,1.04052853584249
1020000,-1.3598348684608936,109.06027221679688,107.70043734833598,1.136044502257858
1040000,-15.450026222504675,108.5110092163086,93.06098299380392,1.1303230126694406
1060000,10.44151067873463,125.56140899658203,136.00291967531666,1.3079313437138864
1080000,6.7570721744559705,100.95113372802734,107.70820590248331,1.0515743096665418
1100000,6.9469053745269775,100.72809600830078,107.67500138282776,1.0492510000860575
1120000,3.55270853638649,126.48511505126953,130.03782358765602,1.3175532817835443
1140000,-43.91532136313617,94.45327758789062,50.53795622475445,0.9838883082068106
