#"Step","NonbondedForce","CustomNonbondedForce","HarmonicBondForce","HarmonicAngleForce","PeriodicTorsionForce","CustomBondForce","CMMotionRemover","contact_1-10-12"
20000,0.0,0.04188097082078457,50.49951934814453,23.704479217529297,19.676620483398438,0.0,0.0,-112.91309356689453
40000,0.0,0.3359082769602537,41.389774322509766,29.406251907348633,14.22323989868164,0.0,0.0,-128.54339599609375
60000,0.0,0.14651515893638134,27.386993408203125,31.53510856628418,16.2177734375,0.0,0.0,-131.92422485351562
80000,0.0,0.2090603148099035,29.578872680664062,28.836172103881836,23.10427474975586,0.0,0.0,-104.99928283691406
100000,0.0,0.3370905201882124,44.09203338623047,27.88357162475586,18.33322525024414,0.0,0.0,-112.95307159423828
120000,0.0,0.13599605159834027,37.32331085205078,32.8286018371582,19.345787048339844,0.0,0.0,-118.2114486694336
140000,0.0,0.2903844085521996,31.700246810913086,36.490478515625,27.856876373291016,0.0,0.0,-104.01646423339844
160000,0.0,0.058448515832424164,29.636463165283203,29.215579986572266,27.096519470214844,0.0,0.0,-101.6851806640625
180000,0.0,0.13317320449277759,28.412094116210938,23.193510055541992,28.413562774658203,0.0,0.0,-99.90116882324219
200000,0.0,0.09644798934459686,39.4327392578125,32.03602600097656,22.434940338134766,0.0,0.0,-112.44930267333984
220000,0.0,0.12237326288595796,40.373207092285156,30.022920608520508,15.161508560180664,0.0,0.0,-121.07308197021484
240000,0.0,0.010442914441227913,53.67819595336914,26.390361785888672,27.346988677978516,0.0,0.0,-118.44795227050781
260000,0.0,0.1246319399215281,25.94228744506836,34.01366424560547,21.541358947753906,0.0,0.0,-116.90937805175781
280000,0.0,0.04437854862771928,43.38664245605469,25.270469665527344,28.13056182861328,0.0,0.0,-101.63731384277344
300000,0.0,0.22542035579681396,47.36138153076172,31.391620635986328,19.75942611694336,0.0,0.0,-112.96741485595703
320000,0.0,0.07843062281608582,28.703771591186523,33.13496398925781,22.09862518310547,0.0,0.0,-113.12818908691406
340000,0.0,1.8353510312736034,38.704505920410156,30.913602828979492,21.180156707763672,0.0,0.0,-104.77484893798828
360000,0.0,0.08433460537344217,36.75227355957031,36.785247802734375,18.16143798828125,0.0,0.0,-120.08136749267578
380000,0.0,0.08404532074928284,40.22582244873047,28.382736206054688,19.829099655151367,0.0,0.0,-114.7556381225586
400000,0.0,0.0689180288463831,28.634838104248047,21.743408203125,26.10137939453125,0.0,0.0,-110.74501037597656
420000,0.0,0.07341878768056631,37.736724853515625,25.442428588867188,22.912353515625,0.0,0.0,-115.22100830078125
440000,0.0,0.01394315855577588,38.48905563354492,30.594242095947266,29.43832778930664,0.0,0.0,-94.20167541503906
460000,0.0,0.016041730996221304,34.43421936035156,24.309816360473633,23.670799255371094,0.0,0.0,-102.18661499023438
480000,0.0,0.015567800030112267,32.915199279785156,39.57219696044922,27.752113342285156,0.0,0.0,-108.61651611328125
500000,0.0,0.1458910070359707,37.05268478393555,34.10694885253906,21.551353454589844,0.0,0.0,-114.62769317626953
520000,0.0,0.2170991231687367,34.96170425415039,26.00237464904785,25.409713745117188,0.0,0.0,-108.67364501953125
540000,0.0,0.389402711763978,30.370332717895508,34.129486083984375,33.23295211791992,0.0,0.0,-84.36795043945312
560000,0.0,0.10655097337439656,33.16217803955078,32.438758850097656,34.439903259277344,0.0,0.0,-85.7579116821289
580000,0.0,0.012317199259996414,25.603485107421875,33.519432067871094,24.809417724609375,0.0,0.0,-101.36182403564453
600000,0.0,0.08946085069328547,39.39879608154297,32.13630294799805,22.13526725769043,0.0,0.0,-107.6357421875
620000,0.0,0.2134098489768803,35.47818374633789,31.563753128051758,13.911596298217773,0.0,0.0,-114.42626953125
640000,0.0,0.12338990066200495,32.9469108581543,30.53997802734375,28.664592742919922,0.0,0.0,-104.33251953125
660000,0.0,0.11890851566568017,39.37559509277344,32.846195220947266,25.397037506103516,0.0,0.0,-109.879638671875
680000,0.0,0.11589480191469193,37.01361083984375,20.915149688720703,19.97990608215332,0.0,0.0,-106.7977523803711
700000,0.0,0.09945778176188469,26.982959747314453,27.888843536376953,21.767745971679688,0.0,0.0,-85.50262451171875
720000,0.0,0.030222343979403377,28.566295623779297,30.769779205322266,24.530872344970703,0.0,0.0,-110.45136260986328
740000,0.0,0.16289296746253967,44.93057632446289,29.057586669921875,15.963956832885742,0.0,0.0,-113.9722671508789
760000,0.0,0.11693584476597607,42.904991149902344,31.757009506225586,31.860071182250977,0.0,0.0,-111.408203125
780000,0.0,0.014822385273873806,35.609893798828125,27.70870590209961,14.473140716552734,0.0,0.0,-111.63003540039062
800000,0.0,0.11348408088088036,30.387788772583008,32.602603912353516,26.04924774169922,0.0,0.0,-103.87519073486328
820000,0.0,0.04802296310663223,31.425521850585938,31.911422729492188,19.231218338012695,0.0,0.0,-97.50006103515625
840000,0.0,0.18772609648294747,44.345970153808594,29.679960250854492,39.29730224609375,0.0,0.0,-99.6767807006836
860000,0.0,0.11656180024147034,37.44322967529297,21.777830123901367,21.75482940673828,0.0,0.0,-110.65029907226562
880000,0.0,0.3814808130264282,30.186729431152344,29.840478897094727,21.089370727539062,0.0,0.0,-121.54688262939453
900000,0.0,0.06550741428509355,28.301982879638672,34.283653259277344,32.400634765625,0.0,0.0,-104.74382781982422
920000,0.0,0.18308022618293762,32.99284362792969,27.065948486328125,22.03790283203125,0.0,0.0,-109.97344970703125
940000,0.0,0.02808034047484398,32.5684928894043,31.431413650512695,15.492408752441406,0.0,0.0,-122.8389892578125
960000,0.0,0.16315346956253052,41.05015182495117,33.45652389526367,17.071914672851562,0.0,0.0,-117.392822265625
980000,0.0,0.04735179990530014,38.36941146850586,22.432159423828125,11.93722915649414,0.0,0.0,-123.56576538085938
1000000,0.0,0.20012283697724342,30.689332962036133,27.126192092895508,22.101125717163086,0.0,0.0,-110.2652587890625
1020000,0.0,0.40264491364359856,35.73838424682617,22.787670135498047,34.0084228515625,0.0,0.0,-94.29695129394531
1040000,0.0,0.06698732730001211,34.46845245361328,32.762901306152344,19.484542846679688,0.0,0.0,-102.23291015625
1060000,0.0,0.32090520998463035,24.59869384765625,26.185585021972656,35.11662292480469,0.0,0.0,-75.7802963256836
1080000,0.0,0.6998192905448377,28.656845092773438,32.56753158569336,37.20262145996094,0.0,0.0,-92.36973571777344
1100000,0.0,0.30266594886779785,46.427940368652344,30.414308547973633,23.38475799560547,0.0,0.0,-93.582763671875
1120000,0.0,0.3550843298435211,32.49138259887695,25.04386329650879,35.99530029296875,0.0,0.0,-90.33291625976562
1140000,0.0,0.1256332267075777,36.105873107910156,22.790634155273438,18.535730361938477,0.0,0.0,-121.47319030761719
1160000,0.0,0.0725906454026699,30.17772674560547,19.75130271911621,39.11330795288086,0.0,0.0,-72.20918273925781
1180000,0.0,0.6412512436509132,37.539573669433594,27.985641479492188,18.873825073242188,0.0,0.0,-107.15251159667969
1200000,0.0,0.06947852857410908,43.48473358154297,26.339141845703125,21.176952362060547,0.0,0.0,-125.89491271972656
1220000,0.0,0.059341512620449066,26.007017135620117,33.34485626220703,26.004417419433594,0.0,0.0,-102.33346557617188
1240000,0.0,2.0856263977475464,44.39555740356445,23.767845153808594,18.861568450927734,0.0,0.0,-101.40655517578125
1260000,0.0,0.03804622124880552,27.555255889892578,28.87369155883789,18.034809112548828,0.0,0.0,-109.31846618652344
1280000,0.0,0.06871406268328428,31.926589965820312,19.930343627929688,14.612152099609375,0.0,0.0,-117.62413024902344
1300000,0.0,0.028302577789872885,38.120994567871094,34.41504669189453,20.360260009765625,0.0,0.0,-118.4179916381836
1320000,0.0,0.2706441208720207,42.76178741455078,29.581018447875977,31.505107879638672,0.0,0.0,-91.08297729492188
1340000,0.0,0.09939980134367943,29.367006301879883,24.018339157104492,25.217838287353516,0.0,0.0,-116.29866027832031
1360000,0.0,0.07597771286964417,32.40988540649414,35.767112731933594,18.46813201904297,0.0,0.0,-120.8291244506836
1380000,0.0,0.11793221812695265,28.05828094482422,28.336315155029297,17.338558197021484,0.0,0.0,-126.88084411621094
1400000,0.0,0.45068245381116867,33.78861999511719,30.852876663208008,35.25285339355469,0.0,0.0,-86.06221771240234
1420000,0.0,0.047257582657039165,36.54878234863281,33.37960433959961,47.38535690307617,0.0,0.0,-30.31332015991211
1440000,0.0,0.003649026621133089,29.589134216308594,39.50967788696289,67.98014831542969,0.0,0.0,-19.685691833496094
1460000,0.0,0.014783692080527544,34.898193359375,34.79229736328125,54.23041534423828,0.0,0.0,-22.696861267089844
1480000,0.0,0.05439019948244095,35.4450569152832,42.22328186035156,50.138824462890625,0.0,0.0,-25.726242065429688
1500000,0.0,0.11595572787337005,29.79676055908203,28.619384765625,51.59602355957031,0.0,0.0,-19.092741012573242
1520000,0.0,0.09326786920428276,36.285545349121094,29.051116943359375,56.939247131347656,0.0,0.0,-22.30465316772461
1540000,0.0,0.3647465109825134,40.3535041809082,24.321285247802734,59.21957015991211,0.0,0.0,-29.844558715820312
1560000,0.0,0.0627485141158104,32.62089157104492,36.61183166503906,55.96084213256836,0.0,0.0,-26.30599594116211
1580000,0.0,0.11605827882885933,35.91048812866211,28.43108367919922,54.739295959472656,0.0,0.0,-29.78627586364746
1600000,0.0,1.6501321541145444,35.95115280151367,32.77915954589844,50.00090408325195,0.0,0.0,-29.866798400878906
1620000,0.0,0.04851073771715164,46.6207389831543,30.70951271057129,55.7520866394043,0.0,0.0,-22.151901245117188
1640000,0.0,0.12437237333506346,30.296646118164062,32.599822998046875,51.066436767578125,0.0,0.0,-28.74285125732422
1660000,0.0,0.20804419554769993,26.049320220947266,35.72132873535156,49.01934051513672,0.0,0.0,-20.361209869384766
1680000,0.0,0.06407819036394358,34.884490966796875,29.08755111694336,51.218448638916016,0.0,0.0,-24.4522705078125
1700000,0.0,0.6959578394889832,40.83301544189453,33.55946350097656,47.41438674926758,0.0,0.0,-24.50167465209961
1720000,0.0,0.297774076461792,36.106239318847656,38.20714569091797,21.63727378845215,0.0,0.0,-112.28461456298828
1740000,0.0,0.07889719028025866,36.98155212402344,29.65404510498047,23.392074584960938,0.0,0.0,-85.79714965820312
1760000,0.0,0.29985656775534153,31.75711441040039,22.298166275024414,28.476207733154297,0.0,0.0,-108.69395446777344
1780000,0.0,0.08549011638388038,44.319305419921875,33.18928909301758,17.355548858642578,0.0,0.0,-112.2145004272461
1800000,0.0,0.07208045292645693,34.06532287597656,29.884151458740234,18.18760108947754,0.0,0.0,-113.95465087890625
1820000,0.0,0.02529372228309512,44.403682708740234,29.304733276367188,21.968814849853516,0.0,0.0,-108.07730102539062
1840000,0.0,0.08321446040645242,32.75859832763672,25.817625045776367,17.19454002380371,0.0,0.0,-111.88451385498047
1860000,0.0,0.1125992015004158,48.75741195678711,30.5828800201416,23.654621124267578,0.0,0.0,-104.09668731689453
1880000,0.0,0.04607348144054413,35.53919219970703,30.15650177001953,26.09025001525879,0.0,0.0,-108.57806396484375
1900000,0.0,0.14144838228821754,36.47731018066406,24.398319244384766,13.510449409484863,0.0,0.0,-117.51438903808594
1920000,0.0,0.05047468328848481,37.10352325439453,27.179710388183594,25.142032623291016,0.0,0.0,-91.37863159179688
1940000,0.0,0.5297337141819298,32.519737243652344,28.22064208984375,32.0125617980957,0.0,0.0,-91.23880767822266
1960000,0.0,0.17763089388608932,48.038352966308594,25.28905487060547,11.810359001159668,0.0,0.0,-128.6315155029297
1980000,0.0,0.5935250278562307,50.829627990722656,29.969566345214844,24.714462280273438,0.0,0.0,-100.50078582763672
2000000,0.0,0.03056928887963295,34.70862579345703,26.842363357543945,13.6697998046875,0.0,0.0,-122.94610595703125
2020000,0.0,0.0807640552520752,40.061004638671875,39.419403076171875,22.03295135498047,0.0,0.0,-104.3836669921875
2040000,0.0,0.19956488208845258,52.4339599609375,27.624229431152344,20.59872817993164,0.0,0.0,-110.17243957519531
2060000,0.0,0.028592791175469756,38.5720329284668,27.276039123535156,23.529706954956055,0.0,0.0,-97.60208129882812
2080000,0.0,0.13293616753071547,34.58932876586914,22.33673858642578,21.439205169677734,0.0,0.0,-111.64965057373047
2100000,0.0,0.15502498485147953,37.185916900634766,23.375995635986328,24.202648162841797,0.0,0.0,-107.5163803100586
2120000,0.0,0.24894098844379187,36.70537567138672,44.27167510986328,35.515472412109375,0.0,0.0,-90.88507080078125
2140000,0.0,0.01161433570086956,37.33655548095703,29.011520385742188,22.008487701416016,0.0,0.0,-101.4814453125
2160000,0.0,0.2703525424003601,27.76142120361328,26.360210418701172,28.13022232055664,0.0,0.0,-93.65284729003906
2180000,0.0,0.06387421046383679,32.535987854003906,32.135231018066406,28.689908981323242,0.0,0.0,-109.4153823852539
2200000,0.0,0.124966227915138,27.33013153076172,26.052698135375977,21.524038314819336,0.0,0.0,-98.1957778930664
2220000,0.0,0.10623886901885271,42.28544616699219,17.606903076171875,23.769203186035156,0.0,0.0,-105.669921875
2240000,0.0,0.12440921785309911,35.51586151123047,31.355003356933594,21.67085838317871,0.0,0.0,-116.89878845214844
2260000,0.0,0.13370311725884676,38.52204132080078,37.177799224853516,30.619091033935547,0.0,0.0,-87.14125061035156
2280000,0.0,0.14586275815963745,50.75454330444336,45.858360290527344,52.22154235839844,0.0,0.0,-33.52167510986328
2300000,0.0,0.40415777266025543,39.56615447998047,32.87043762207031,47.86492156982422,0.0,0.0,-44.742122650146484
2320000,0.0,1.2618113830685616,38.74970245361328,22.573230743408203,43.78779602050781,0.0,0.0,-31.589340209960938
2340000,0.0,0.005872041918337345,34.83414840698242,27.32949447631836,48.4887809753418,0.0,0.0,-29.01021957397461
2360000,0.0,0.05073922872543335,36.928314208984375,31.472305297851562,46.967979431152344,0.0,0.0,-36.84210205078125
2380000,0.0,1.2805511811748147,33.16304016113281,33.506744384765625,52.232730865478516,0.0,0.0,-22.82558822631836
2400000,0.0,0.09767714887857437,32.43341827392578,40.50491714477539,47.6607551574707,0.0,0.0,-29.61549949645996
2420000,0.0,0.008453572168946266,32.42350387573242,31.37032699584961,53.47759246826172,0.0,0.0,-15.444042205810547
2440000,0.0,0.034744661301374435,41.53834915161133,38.95586395263672,56.576053619384766,0.0,0.0,-25.608295440673828
2460000,0.0,1.1145790815353394,40.013916015625,30.45804214477539,52.42897033691406,0.0,0.0,-28.852054595947266
2480000,0.0,0.20774084143340588,39.25706481933594,35.31761169433594,46.588287353515625,0.0,0.0,-43.07579040527344
2500000,0.0,0.7768834736198187,48.76447296142578,33.580570220947266,56.15950393676758,0.0,0.0,-33.64258575439453
2520000,0.0,0.0072299158200621605,38.24179458618164,36.459571838378906,74.8691177368164,0.0,0.0,-14.612117767333984
2540000,0.0,0.023514597211033106,42.675506591796875,25.33542251586914,41.869503021240234,0.0,0.0,-31.73429298400879
2560000,0.0,0.1478208750486374,35.175270080566406,35.68281173706055,54.72297668457031,0.0,0.0,-31.45553970336914
2580000,0.0,2.2243433594703674,43.26642608642578,21.49883270263672,55.01318359375,0.0,0.0,-22.06215476989746
2600000,0.0,0.05760758928954601,44.84630584716797,37.952598571777344,60.114662170410156,0.0,0.0,-25.162975311279297
2620000,0.0,0.07646739110350609,40.0501708984375,33.172786712646484,43.30878829956055,0.0,0.0,-23.95128631591797
2640000,0.0,1.3402725663036108,33.359291076660156,39.83468246459961,66.1905288696289,0.0,0.0,-29.27035140991211
2660000,0.0,0.024999655783176422,35.07012939453125,37.884368896484375,44.22492599487305,0.0,0.0,-31.48477554321289
2680000,0.0,2.4460302852094173,43.85224151611328,31.61978530883789,57.98252868652344,0.0,0.0,-27.376176834106445
2700000,0.0,1.352940520271659,36.426673889160156,34.9992561340332,49.74407958984375,0.0,0.0,-38.58179473876953
2720000,0.0,0.022729260846972466,48.858154296875,45.461448669433594,66.22341918945312,0.0,0.0,-18.802392959594727
2740000,0.0,0.8007081151008606,42.828067779541016,28.813308715820312,58.55519104003906,0.0,0.0,-25.830869674682617
2760000,0.0,0.13830543169751763,36.754241943359375,45.3077392578125,64.49380493164062,0.0,0.0,-26.96389389038086
2780000,0.0,0.0,36.64739227294922,35.771244049072266,65.06063842773438,0.0,0.0,-9.148783683776855
2800000,0.0,0.0,33.420997619628906,23.203174591064453,61.60075378417969,0.0,0.0,-15.9573335647583
2820000,0.0,0.32757677137851715,43.08190155029297,31.59051513671875,64.82083129882812,0.0,0.0,-26.06533432006836
2840000,0.0,0.8180744331330061,41.95043182373047,23.702312469482422,51.37969970703125,0.0,0.0,-16.099401473999023
2860000,0.0,2.0026726722717285,38.01841735839844,33.201656341552734,48.06999969482422,0.0,0.0,-27.565670013427734
2880000,0.0,0.0,44.73234939575195,26.012859344482422,48.76470947265625,0.0,0.0,-14.302868843078613
2900000,0.0,0.005235763732343912,35.32783508300781,35.81422424316406,46.230125427246094,0.0,0.0,-16.428319931030273
2920000,0.0,0.07131629134528339,26.74215316772461,44.92127990722656,61.012325286865234,0.0,0.0,-18.67633819580078
2940000,0.0,0.09413295239210129,27.410795211791992,52.1236686706543,52.03115463256836,0.0,0.0,-20.732852935791016
2960000,0.0,0.7307588700205088,50.020809173583984,33.57009506225586,44.93640899658203,0.0,0.0,-43.787288665771484
2980000,0.0,0.10624213144183159,44.539833068847656,42.500633239746094,59.507545471191406,0.0,0.0,-31.780263900756836
3000000,0.0,0.10276781860738993,40.695438385009766,48.45671081542969,41.714839935302734,0.0,0.0,-27.176158905029297
3020000,0.0,0.17399219423532486,27.21607208251953,31.54479217529297,55.03569412231445,0.0,0.0,-28.336341857910156
3040000,0.0,0.7727877115830779,29.717336654663086,34.353084564208984,51.46678161621094,0.0,0.0,-32.93617630004883
3060000,0.0,0.19751070998609066,39.361412048339844,34.99591064453125,57.239662170410156,0.0,0.0,-18.576095581054688
3080000,0.0,0.2054946180433035,31.09284210205078,46.903114318847656,66.75127410888672,0.0,0.0,-28.84245491027832
3100000,0.0,0.034945541992783546,39.52238082885742,34.55451965332031,53.14918518066406,0.0,0.0,-27.78655242919922
3120000,0.0,0.21844959631562233,34.971527099609375,38.23798370361328,56.59639358520508,0.0,0.0,-25.637062072753906
3140000,0.0,0.0742077138274908,39.304481506347656,31.786802291870117,51.43373107910156,0.0,0.0,-32.063045501708984
3160000,0.0,0.0914865080267191,29.41417694091797,35.68155288696289,51.594886779785156,0.0,0.0,-29.801572799682617
3180000,0.0,0.0,31.38381576538086,43.28150177001953,57.2801513671875,0.0,0.0,-17.8079776763916
3200000,0.0,0.6182706039398909,44.091941833496094,38.37519836425781,53.57568359375,0.0,0.0,-40.87322998046875
3220000,0.0,0.3110183132812381,51.46923065185547,36.16346740722656,47.15728759765625,0.0,0.0,-18.046979904174805
3240000,0.0,0.17977838590741158,30.9921932220459,32.100372314453125,45.853389739990234,0.0,0.0,-30.628894805908203
3260000,0.0,1.9823290091007948,46.62751770019531,39.294219970703125,52.043128967285156,0.0,0.0,-33.2890625
3280000,0.0,0.5452657947316766,35.35614776611328,29.760101318359375,58.292579650878906,0.0,0.0,-27.233129501342773
3300000,0.0,0.7045355588197708,36.72304916381836,29.25629425048828,62.050315856933594,0.0,0.0,-21.560977935791016
3320000,0.0,0.2503839582204819,46.808109283447266,30.524452209472656,67.04290771484375,0.0,0.0,-30.18840217590332
3340000,0.0,0.2252684384584427,31.440345764160156,31.148719787597656,40.35658645629883,0.0,0.0,-32.75933837890625
3360000,0.0,0.4504550099372864,43.27748107910156,35.51655960083008,50.633575439453125,0.0,0.0,-23.357463836669922
3380000,0.0,0.046160236932337284,30.84909439086914,31.017656326293945,53.83186340332031,0.0,0.0,-34.969688415527344
3400000,0.0,0.084660604596138,44.95197677612305,30.349210739135742,57.02421569824219,0.0,0.0,-31.47309112548828
3420000,0.0,0.47501155734062195,43.65980529785156,34.79536056518555,45.59125900268555,0.0,0.0,-32.19708251953125
3440000,0.0,0.053332678973674774,47.72173309326172,24.002487182617188,65.50083923339844,0.0,0.0,-27.032133102416992
3460000,0.0,0.030016737757250667,29.405746459960938,47.790592193603516,47.30852127075195,0.0,0.0,-17.659875869750977
3480000,0.0,0.43172265589237213,37.315128326416016,30.130844116210938,63.14651107788086,0.0,0.0,-28.003276824951172
3500000,0.0,0.8860516464337707,37.22562789916992,31.579736709594727,57.370567321777344,0.0,0.0,-14.950984954833984
3520000,0.0,0.11470108479261398,46.214847564697266,28.557132720947266,48.37528991699219,0.0,0.0,-21.616010665893555
3540000,0.0,0.08021178096532822,49.285301208496094,29.577598571777344,56.983436584472656,0.0,0.0,-31.62905502319336
3560000,0.0,0.726886497810483,34.48621368408203,39.508827209472656,61.10637664794922,0.0,0.0,-29.730180740356445
3580000,0.0,0.004591415636241436,34.81162643432617,40.550743103027344,41.30526351928711,0.0,0.0,-22.31407356262207
3600000,0.0,0.0,33.26615524291992,33.544673919677734,52.39109420776367,0.0,0.0,-10.191404342651367
3620000,0.0,0.010606142692267895,39.99957275390625,33.1461296081543,54.542240142822266,0.0,0.0,-25.785215377807617
3640000,0.0,0.0976021196693182,27.633508682250977,23.45537567138672,51.695220947265625,0.0,0.0,-24.46427345275879
